from,to,length_m,capacity_m3s
0,1,1500.2983592414694,12.344160385349836
2,3,753.5739400813693,12.344160385349836
4,5,2021.5586579863025,12.344160385349836
6,7,1320.9202071752998,12.344160385349836
8,9,760.0176403795692,12.344160385349836
10,11,326.96732259950227,1.743565185934372
12,13,2287.654865217218,12.344160385349836
14,15,254.6164762339414,1.743565185934372
16,17,1522.2282871173838,12.344160385349836
18,19,1135.4723831558356,12.344160385349836
20,21,8.196797017945935,0.27459430995282297
22,20,304.64275104439326,1.743565185934372
21,23,1013.7197545315452,12.344160385349836
24,22,8.70610971050337,0.27459430995282297
25,26,937.2218102705518,12.344160385349836
27,4,426.6201792297832,1.743565185934372
23,28,24.403002191376583,0.27459430995282297
28,29,298.74430117993256,1.743565185934372
29,27,15.498922651812745,0.27459430995282297
30,31,210.35954554050628,1.743565185934372
32,33,43.9613789100879,0.27459430995282297
33,34,856.3461098776847,12.344160385349836
35,32,3401.6339017444734,12.344160385349836
36,37,288.1927571381149,1.743565185934372
38,39,806.2780652982722,12.344160385349836
40,41,2311.29423865407,12.344160385349836
42,43,19.537143819720896,0.27459430995282297
39,42,158.56224014534502,1.743565185934372
44,45,1055.9880587589698,12.344160385349836
46,47,303.9725686376074,1.743565185934372
48,49,197.6567300926116,1.743565185934372
50,51,225.4039693953568,1.743565185934372
52,51,222.6371916565567,1.743565185934372
53,54,508.4686395361341,12.344160385349836
55,56,270.9079056339939,1.743565185934372
57,58,1635.6615357699973,12.344160385349836
59,60,120.82807540400069,1.743565185934372
61,62,303.25690180563987,1.743565185934372
63,64,342.3690553143972,1.743565185934372
65,66,310.57986970437804,1.743565185934372
67,68,2115.238743861797,12.344160385349836
69,70,1171.3831442414,12.344160385349836
71,72,1367.250461677615,12.344160385349836
73,74,168.22200639433544,1.743565185934372
75,76,152.1612259261092,1.743565185934372
77,78,725.477401043976,12.344160385349836
79,80,117.17521831521807,1.743565185934372
81,79,129.21109881141757,1.743565185934372
82,83,329.5854499209453,1.743565185934372
84,85,59.25438390802816,0.27459430995282297
83,84,57.45209116273924,0.27459430995282297
86,87,70.61591973083739,0.27459430995282297
68,86,58.19093588035489,0.27459430995282297
87,88,215.0258197088984,1.743565185934372
88,6,94.69047083329042,0.27459430995282297
76,89,43.95344996297065,0.27459430995282297
72,90,41.93024292359711,0.27459430995282297
90,75,123.01932430406558,1.743565185934372
89,91,284.197590076203,1.743565185934372
92,93,462.29623900945097,1.743565185934372
3,92,11.076284903128832,0.27459430995282297
80,94,23.116686672656986,0.27459430995282297
95,96,1795.7038211703982,12.344160385349836
97,98,570.6127295153013,12.344160385349836
5,99,381.52059170028497,1.743565185934372
100,101,35.85014229004357,0.27459430995282297
101,102,269.870909321598,1.743565185934372
103,104,60.722319643657215,0.27459430995282297
105,106,108.82684919269238,1.743565185934372
107,108,50.28887623659774,0.27459430995282297
109,110,27.67270589334199,0.27459430995282297
111,112,20.080365733897448,0.27459430995282297
108,105,632.5921935989882,12.344160385349836
104,113,318.73268398654506,1.743565185934372
106,109,250.4644747780149,1.743565185934372
110,103,375.3310132406125,1.743565185934372
112,107,281.0286050334637,1.743565185934372
113,114,1866.8297993420456,12.344160385349836
26,24,4563.642464812918,12.344160385349836
51,115,94.66774505565895,0.27459430995282297
116,117,232.67711382331092,1.743565185934372
118,119,53.27243650914853,0.27459430995282297
120,121,372.5342657045725,1.743565185934372
122,120,48.068761452159634,0.27459430995282297
123,122,58.867041090242594,0.27459430995282297
124,125,1495.2864039684491,12.344160385349836
126,127,405.2695638762815,1.743565185934372
127,128,44.23806344860279,0.27459430995282297
128,129,1696.2782284400537,12.344160385349836
130,131,188.38486371035535,1.743565185934372
131,132,591.6396883204486,12.344160385349836
133,134,226.29394522846357,1.743565185934372
135,136,200.17511735942213,1.743565185934372
132,137,474.6480504960196,1.743565185934372
138,139,429.17365502726045,1.743565185934372
140,141,184.93222940489017,1.743565185934372
142,143,1055.5330828551423,12.344160385349836
144,145,235.60742955170008,1.743565185934372
119,146,85.98977997901993,0.27459430995282297
147,148,259.8649796860076,1.743565185934372
149,150,693.9350365626964,12.344160385349836
151,111,253.24073529326583,1.743565185934372
102,151,204.54896055627893,1.743565185934372
4,152,655.6025438204117,12.344160385349836
153,154,162.68445521488815,1.743565185934372
155,153,9.454224497444011,0.27459430995282297
156,155,565.0846499189132,12.344160385349836
152,156,11.585871628286734,0.27459430995282297
157,158,341.27714679072807,1.743565185934372
159,160,184.46905116282687,1.743565185934372
158,159,12.841292158627102,0.27459430995282297
161,100,726.7429802821745,12.344160385349836
13,162,25.546595692148788,0.27459430995282297
163,138,18.331215289930743,0.27459430995282297
164,163,29.402732675739124,0.27459430995282297
165,166,126.38710603774877,1.743565185934372
129,165,12.85143481583403,0.27459430995282297
167,116,94.83471033666154,0.27459430995282297
166,167,49.669356974158354,0.27459430995282297
168,169,35.56765856125236,0.27459430995282297
169,170,151.99988200260967,1.743565185934372
171,172,176.35562882973198,1.743565185934372
173,171,13.165998183541957,0.27459430995282297
170,173,6.753063370788152,0.27459430995282297
172,174,142.05775809741067,1.743565185934372
174,175,157.52246368459805,1.743565185934372
176,177,156.93634306503736,1.743565185934372
175,176,11.7467205829222,0.27459430995282297
177,178,141.5036215397625,1.743565185934372
54,179,13.830140337206512,0.27459430995282297
180,181,173.4329721370503,1.743565185934372
181,55,21.600072261391464,0.27459430995282297
179,182,8.742840036834385,0.27459430995282297
182,180,69.44895487706088,0.27459430995282297
183,184,380.3303902422828,1.743565185934372
185,183,57.994311841463286,0.27459430995282297
186,187,22.216302409612872,0.27459430995282297
187,188,718.1813859513927,12.344160385349836
189,190,10.945216508839325,0.27459430995282297
190,186,2346.209540020061,12.344160385349836
150,191,28.56108001248641,0.27459430995282297
191,192,222.78810449481009,1.743565185934372
192,193,23.4240412649656,0.27459430995282297
193,194,13.73496436927732,0.27459430995282297
194,195,104.63256690767196,1.743565185934372
195,196,1106.5108276529425,12.344160385349836
196,197,118.25950943310502,1.743565185934372
197,189,259.70532899575807,1.743565185934372
198,199,189.315606616812,1.743565185934372
199,149,31.80805054371812,0.27459430995282297
148,200,150.32193025933793,1.743565185934372
200,198,72.64398309643211,0.27459430995282297
201,202,535.8028616743609,12.344160385349836
203,204,251.80743933537764,1.743565185934372
205,206,497.3165236030047,1.743565185934372
207,208,1383.0562144564465,12.344160385349836
162,209,696.4853395973332,12.344160385349836
209,161,11.668860447508848,0.27459430995282297
210,211,113.46030858918569,1.743565185934372
212,213,35.8573656168066,0.27459430995282297
214,185,185.36703719497524,1.743565185934372
215,214,12.145840520711603,0.27459430995282297
216,215,206.1165094368168,1.743565185934372
56,216,18.083385709027123,0.27459430995282297
217,218,1439.7973087800824,12.344160385349836
219,220,1432.6352593920012,12.344160385349836
221,222,581.5760397690012,12.344160385349836
223,224,743.2328877999698,12.344160385349836
225,223,42.84140026778648,0.27459430995282297
226,227,675.9813063457059,12.344160385349836
227,25,12.56851172558725,0.27459430995282297
228,225,254.2137863427276,1.743565185934372
220,228,65.19240733131842,0.27459430995282297
229,230,455.0599267465225,1.743565185934372
230,231,380.2406317217092,1.743565185934372
231,229,11.887299869002634,0.27459430995282297
232,233,312.0212500324949,1.743565185934372
234,235,6135.247538986188,12.344160385349836
236,237,336.8334092175149,1.743565185934372
238,239,647.9705829709343,12.344160385349836
45,238,11.655814851739494,0.27459430995282297
240,241,116.05671112677616,1.743565185934372
241,36,5.531286663468885,0.27459430995282297
242,243,102.70305921981269,1.743565185934372
