from,to,flow_m3s
384,385,0.1220467579579014
386,387,0.3222501694634294
388,389,0.9067873066809264
389,390,1.2846695515057276
390,391,1.6770351090487579
392,393,1.5768297875492168
393,394,1.5768297875492168
394,411,1.9447078387267482
395,396,0.0
397,398,0.026309727420931
399,262,0.0002350770777665134
400,399,0.0002350770777665134
401,400,0.0002350770777665134
402,403,0.5119139204410021
404,405,2.0239406193223517
405,423,3.1203971772853927
407,406,0.0
408,409,8.807467960507283
409,410,8.807467960507283
410,98,8.807467960507283
411,412,1.9447078387267482
412,413,1.9447078387267482
413,414,1.9447078387267482
414,420,1.9447078387267482
415,416,4.856878450958608
417,415,4.160014789640798
418,419,8.186175538535759
419,50,8.563100605582296
420,254,1.9447078387267482
421,219,4.536665768705785
423,417,3.4714999476875947
424,425,0.0070911113801505
425,426,1.3654872634850943
427,428,13.12319020483905
429,430,12.588500864354586
430,427,12.68414990551499
431,432,8.861503851199158
433,434,0.0
435,436,0.7271161327374754
437,438,0.1104319820942239
438,439,0.1104319820942239
439,440,0.1104319820942239
441,442,0.651600661516848
444,443,0.06269257439277828
444,449,2.647670462590822
445,446,2.647670462590822
447,445,2.647670462590822
448,447,2.647670462590822
449,448,2.647670462590822
450,451,4.243552623161395
451,443,4.243552623161395
453,452,0.0
455,454,12.255227418507843
456,457,0.0
457,63,0.0
458,459,0.0
458,64,0.0
460,461,1.2318102871744374
461,36,1.2576519939960362
