x,y,node_id
8682754.5,1957720.8,0
8869262.5,1885054.3,1
8718192.0,1964632.8,2
8725121.1,1964393.9,3
8737299.1,1962151.5,4
8738069.3,1964730.3,5
8735661.1,1959149.7,6
8737517.4,1962550.4,7
8736497.6,1964297.0,8
8737265.6,1964984.3,9
8744349.6,1965122.0,10
8759669.4,1967977.3,11
8723236.6,1959316.3,12
8728835.0,1964081.3,13
8737042.3,1970275.2,14
8739237.8,1965768.7,15
8715295.8,1967703.1,16
8715304.6,1967199.3,17
8741905.3,1963780.7,18
8742132.7,1964364.7,19
8734809.8,1981410.9,20
8733690.4,1974688.3,21
8733452.1,1973448.9,22
8736718.7,1970406.4,23
8731988.3,1975049.8,24
8733226.9,1974630.5,25
8736137.3,1968268.0,26
8737274.5,1967838.0,27
8756464.9,1968121.4,28
8749409.9,1966000.7,29
8715257.3,1952233.2,30
8710114.6,1949878.4,31
8737288.6,1971993.3,32
8736926.4,1971411.3,33
8730960.1,1972062.2,34
8730677.1,1972114.4,35
8738087.7,1976447.8,36
8736680.8,1975135.6,37
8743196.3,1967037.7,38
8743166.2,1966793.4,39
8732725.2,1971778.4,40
8734000.1,1972165.4,41
8743870.8,1971180.5,42
8744356.0,1970269.4,43
8733652.0,1963213.1,44
8730644.5,1975726.1,45
8730652.6,1975727.6,46
8730400.7,1975856.7,47
8731475.8,1975381.2,48
8730400.7,1975865.4,49
8728986.8,1979680.1,50
8729207.9,1978948.6,51
8731792.6,1975320.0,52
8731496.2,1975367.9,53
8731778.6,1975326.6,54
8744187.9,1965131.4,55
8744068.5,1965061.6,56
8734153.8,1968922.9,57
8734193.4,1968942.0,58
8734781.2,1969263.6,59
8731506.9,1967398.7,60
8738077.2,1964767.7,61
8738099.2,1965228.0,62
8740069.6,1969516.0,63
8740177.2,1969763.9,64
8731960.4,1970168.8,65
8732705.7,1970178.2,66
8730361.6,1969276.9,67
8732606.7,1968793.5,68
8732844.6,1970135.3,69
8732861.1,1970145.7,70
8732419.8,1961580.4,71
8732849.8,1962245.4,72
8734604.8,1964133.0,73
8734586.6,1963858.2,74
8736464.0,1964947.1,75
8736640.1,1964864.6,76
8738107.4,1965230.9,77
8739203.6,1965963.8,78
8734523.9,1971235.2,79
8734408.2,1971041.7,80
8734245.5,1971169.5,81
8746766.4,1988408.0,82
8746288.1,1988333.4,83
8746118.7,1988130.5,84
8745901.1,1988036.3,85
8747563.1,1967599.4,86
8747433.5,1966229.3,87
8747276.0,1966073.3,88
8747241.2,1966188.2,89
8745470.7,1964757.6,90
8745813.2,1964310.9,91
8735354.0,1958898.7,92
8735633.9,1959080.8,93
8728773.6,1975115.5,94
8728887.0,1975349.9,95
8729306.3,1964982.9,96
8729094.3,1964323.7,97
8729024.8,1965626.6,98
8729116.3,1965400.7,99
8728175.7,1968569.5,100
8728212.5,1968570.5,101
8733648.3,1962162.0,102
8733761.7,1961873.3,103
8734729.1,1972027.3,104
8735029.7,1971967.0,105
8735439.0,1970515.1,106
8735770.8,1968443.2,107
8734518.9,1969436.6,108
8735597.5,1969140.9,109
8740032.2,1968940.6,110
8739284.5,1967851.7,111
8739009.0,1966888.0,112
8739052.2,1966739.8,113
8739202.1,1967715.6,114
8739153.1,1967572.3,115
8705733.7,1949162.1,116
8679492.8,1942442.3,117
8747041.1,1968526.6,118
8747010.3,1967970.8,119
8747113.6,1968902.5,120
8747124.3,1968794.4,121
8747168.1,1968985.5,122
8729684.5,1990893.2,123
8729617.0,1990583.2,124
8729637.3,1990529.5,125
8729659.5,1990474.5,126
8735822.1,1968415.6,127
8735891.7,1968403.8,128
8736043.0,1968259.5,129
8739134.5,1967532.5,130
8739268.1,1967813.1,131
8738921.1,1967352.0,132
8742138.2,1964374.2,133
8742145.5,1964776.0,134
8747118.2,1968772.1,135
8729460.0,1967824.0,136
8732600.9,1983022.2,137
8732316.7,1983434.0,138
8733529.1,1974404.9,139
8736015.6,1974058.1,140
8736001.3,1974025.3,141
8735993.5,1973765.5,142
8736231.3,1972270.8,143
8736176.8,1972243.9,144
8736534.0,1972891.4,145
8736448.3,1972824.3,146
8736266.7,1973196.1,147
8736316.5,1973202.9,148
8736322.5,1972643.8,149
8736297.8,1972631.2,150
8735991.6,1973308.5,151
8736004.5,1973293.2,152
8736199.6,1972026.1,153
8734488.9,1970992.7,154
8747960.7,1948157.0,155
8748013.2,1948087.9,156
8746963.6,1947674.8,157
8746995.3,1947615.2,158
8747980.1,1948181.5,159
8747986.7,1948169.6,160
8747962.6,1948158.0,161
8748255.3,1948340.9,162
8748289.8,1948361.1,163
8748074.2,1948077.2,164
8748264.4,1948461.9,165
8747882.2,1948121.5,166
8717926.8,1976872.3,167
8717987.8,1976663.9,168
8729093.3,1964293.4,169
8729232.8,1964034.7,170
8710240.3,1981911.8,171
8709444.4,1983932.8,172
8699516.2,1997435.1,173
8722823.0,1969350.2,174
8722840.8,1969400.4,175
8732000.7,1963805.3,176
8720162.5,1986286.7,177
8719935.0,1986086.0,178
8720157.1,1986334.4,179
8720154.7,1986392.9,180
8725280.5,1966922.1,181
8724871.8,1965594.3,182
8718155.0,1978918.8,183
8718288.0,1978553.1,184
8718264.4,1978516.3,185
8717903.5,1977148.4,186
8713961.4,1985418.3,187
8708818.0,1986153.3,188
8748442.8,1978679.8,189
8748320.6,1979120.2,190
8745416.6,1969058.7,191
8745452.6,1968881.5,192
8745741.7,1968444.6,193
8745165.8,1969374.5,194
8745338.7,1969251.6,195
8745344.3,1969238.3,196
8745416.6,1969072.2,197
8746149.0,1968349.9,198
8744649.8,1969456.2,199
8744973.2,1969383.6,200
8744984.2,1969383.6,201
8745159.8,1969383.9,202
8746160.9,1968347.4,203
8746980.3,1967973.1,204
8728274.9,1989966.7,205
8728454.1,1990119.3,206
8722905.8,1969425.9,207
8737006.1,1970281.1,208
