land_type,area_km2,runoff_C
commercial,7.816710384068044,0.8
forest,15.120849604372628,0.2
industrial,45.362190939594214,0.7
park,7.511066909219224,0.3
residential,53.43146000520464,0.6
road,730.5737516371072,0.9
water,40.93164929506817,0.0
