node_id,land_type,area_m2
1,park,375.719609100276
1,park,1717.1043788920556
16,park,1670.3833368247701
4,park,453.3486729518977
16,park,1179.9031331173426
5,park,2713.860165379606
4,park,749.2027733678536
4,park,283.67155242008107
4,park,598.152587313098
99,park,2101.913914754746
4,park,598.1540884605008
5,park,1549.824477513344
4,park,598.1527734704933
16,park,1066.3946113177115
5,park,383.41568751323985
99,park,518.0779049470864
4,park,911.3218404308091
16,park,8045.59268194279
16,park,445.94471737171114
16,park,3621.961942250003
99,park,891.1755602383719
1,park,1639.8315388936453
1,park,2691.0574754709373
10,water,3886.78801578706
10,park,25881.73360596359
10,park,306.408009961938
10,park,1563.2195586738076
4,park,1034.8831622918276
2,park,3316.5864254398775
2,park,1301.4908060064288
2,park,2134.1195824296747
2,park,1502.6787230831808
2,park,560.0992369424918
2,park,3772.0054437171034
2,park,1478.931377180518
90,park,638.5224492720937
243,park,4662.477459384652
114,park,3231.05262860733
7,park,279.85055893460446
2,park,1990.5369629703434
93,park,1373.437575951813
2,park,3041.4875136459973
2,park,724.9184954418351
2,park,2702.9187779150607
90,park,481.99181282912537
6,park,244.62462495549102
90,park,1468.29240735542
90,park,1923.2910169341048
90,park,1325.1841456147363
90,park,2278.452553030888
90,park,731.3510752430756
81,water,175999.67690123065
18,water,7270.4723864822545
18,water,1929.7668257547537
3,park,6989.749736092677
35,park,466.6820915347855
35,park,161.08366641602703
35,park,1976.248807918601
35,park,1342.2780678858871
35,park,2611.3684736169225
2,park,4111.92490807712
2,park,569.8531899366861
2,park,285.32941436096974
35,park,3230.7833018015563
239,park,2805.880746608808
2,park,709.5249161643848
2,park,312.5509440387507
2,park,3557.6456459829733
2,park,1257.5659225586887
2,park,559.856417502851
2,park,594.9394260750946
2,park,329.94515367853063
2,park,554.9412996194899
2,park,1759.44808913632
2,park,1804.8701507032024
2,park,822.9730498851446
2,park,2291.99850736569
2,park,1582.0251907320483
2,park,201.8072945091819
2,park,1621.7657146982615
2,park,3957.0470422618837
2,park,585.5684102434511
2,park,2906.0423921363445
2,park,551.2428943945991
2,park,2020.7968167065678
2,park,1053.0754347871448
2,park,1696.9978017182914
239,park,4458.646809928209
10,park,474.1967258019572
11,park,283.7148765127217
11,park,2287.539316024341
10,park,941.9789586149939
10,park,870.0903839944658
10,park,353.24530281523033
11,park,282.6648260251468
10,park,3575.113565784948
10,park,459.7083646076486
16,park,8643.525426150765
16,park,1298.0416995357436
153,park,949.4465814186874
154,park,3112.12201064117
87,park,939.3806165001653
71,park,1386.1160478036481
243,park,1573.413018772154
35,residential,41121.280662967045
2,water,28603.322638693724
0,park,1380.1875937555094
0,park,1191.974666976063
2,park,357.05440835741405
38,park,2615.1812227339155
10,park,869.543708148979
38,park,1690.9317284346216
38,park,1729.1416617032687
10,park,1869.0156286018416
16,park,1160.2911363634798
10,park,11906.41237266188
16,park,2772.031324107855
11,park,5041.086465424686
46,park,1948.9623872756772
46,park,473.564692081523
46,park,989.6478627699665
46,park,595.7463953658244
46,park,1978.4015852609014
44,park,6193.464360033548
239,park,2535.5786916119227
238,residential,8109.890408449929
46,park,2942.060581716753
238,park,17282.324186985654
46,park,562.0069122574232
35,park,8615.37251571209
204,forest,5083164.382394168
234,water,125575.33513054308
2,water,141185.8714483313
208,water,88754.78997255991
157,water,345003.85363761336
2,water,218735.9654472418
232,commercial,437911.3267523617
232,park,21636.944684094462
127,park,535.2875696083344
126,park,1003.0467539637332
126,park,1302.702998824737
126,park,2221.1204537976696
126,park,1261.5176664596013
127,park,1809.1901590592524
13,park,2183.928201245275
2,industrial,5550.269159863869
6,water,19760.46380081518
157,residential,83162.20796102547
7,residential,324.8250270719434
26,park,839.0057141718431
26,park,1762.8483101427264
40,commercial,5837.636475706787
24,park,404.9827708387663
232,park,7309.513854195993
26,commercial,88.48215073095844
68,commercial,1892.694640435764
147,water,74129.0977626131
34,water,3109.0421259654418
33,commercial,8707.618672123832
6,commercial,1664.1367061932629
86,residential,11733.541540455706
32,commercial,2547.488467748949
32,commercial,9985.253938543592
33,commercial,5467.110406364467
33,park,849.3156801512255
33,commercial,14646.136761871727
68,park,5428.8054209597885
34,water,15620.783447120099
34,park,65069.263300270366
19,industrial,211103.60369521574
81,industrial,326415.19518318685
18,industrial,1369141.5098296697
141,industrial,1754443.8248795166
18,industrial,1099415.7941227814
14,industrial,1517274.4231516856
18,industrial,108363.6926615132
18,industrial,120219.43978776212
6,industrial,4275.6798861041025
18,industrial,14676.571131107024
18,industrial,285745.97466265707
18,industrial,22672.114398297497
18,industrial,244332.99380847564
18,industrial,18251.11936149812
18,industrial,216351.25960808859
18,industrial,16051.710899186783
18,industrial,201930.67590911748
81,industrial,787110.1069585056
81,industrial,726645.7948553656
18,industrial,1292938.2439009277
81,industrial,1129337.9583840894
18,industrial,75588.27250119006
81,industrial,430228.6753498388
81,industrial,23578.70852490412
81,industrial,417892.4195604681
230,industrial,77710.27290384434
72,industrial,54427.737908348216
91,industrial,133624.4678690554
