from,to,length_m
256,259,8.742840036834385
259,257,69.44895487706088
260,261,380.33039024228276
262,260,57.994311841463286
263,2,5301.845574617429
264,265,22.216302409612872
265,266,718.1813859513927
267,268,10.945216508839323
268,264,2346.209540020061
216,269,28.561080012486414
269,270,222.78810449481009
270,271,23.424041264965602
271,272,13.73496436927732
272,273,104.63256690767197
273,274,1106.5108276529425
274,275,118.25950943310502
275,267,259.70532899575807
276,277,189.315606616812
277,215,31.808050543718117
214,278,150.32193025933793
278,276,72.64398309643211
279,280,537.3413286656717
281,282,293.1660024815439
283,284,206.96300000077284
284,281,78.57097016378343
285,286,204.50543983493208
287,285,83.58647791453946
288,287,276.23832080253925
282,288,44.25207771317616
289,290,318.217467324861
286,289,145.0164612127799
291,292,231.18053432505104
293,291,176.03654787328048
294,293,91.21573308703141
295,294,149.39744872883043
296,295,7.469537831842899
290,296,81.55088539250511
297,298,388.4364397312237
299,297,177.6439546519208
300,299,864.738225842853
301,300,34.62334544377641
302,301,29.20246108715417
303,302,73.99843552148852
304,303,161.3496818968514
305,304,164.07439575201394
306,305,311.3247223095996
292,306,181.2960747790672
307,308,674.6052171543624
309,310,35.42283382813167
308,311,75.91118018910805
312,309,72.0572997333547
313,307,67.20137582807955
311,314,517.7678345908582
315,316,76.68611097445624
317,315,53.53711868538903
314,318,83.83772311055613
318,319,400.2709306306589
320,321,473.195523648098
319,320,81.39559441226648
322,323,72.85646211726987
324,322,53.41579201721381
325,326,965.2826026585357
327,325,18.603418370424375
328,327,33.143962408283805
321,328,76.44708274339698
329,330,71.96016784214612
331,332,72.66525710359542
333,334,18.686500057078845
334,331,179.38934450715783
335,336,328.1068058641189
336,337,87.95951024160705
338,329,66.80197921378593
339,340,358.5491796408741
341,324,15.443278401558016
340,335,108.34682515359128
342,339,171.24006564244448
343,342,193.7254856361676
343,317,21.75430174093898
344,343,250.8605598457433
345,346,292.74568223821507
347,313,220.4033574582241
346,347,16.944766660264754
348,345,103.35740668413867
349,348,334.4635006211516
350,351,642.3422151357628
326,350,173.54393976222002
352,353,260.6366655332848
354,355,338.9938158685322
355,356,20.105519551407784
356,357,167.60801272936004
357,352,20.770141917547992
358,359,135.11846014249514
359,360,47.38207284389462
360,361,224.8227767866484
361,362,47.35784538058853
362,363,141.5542608348178
364,312,122.83898424964804
363,365,52.526169632877874
365,366,4.775606155395508
367,368,135.38540318965167
368,369,101.95080022401076
369,370,33.27483425043366
370,364,16.828102097937848
371,372,251.80743933537764
373,374,497.3165236030047
375,376,1383.0562144564465
99,377,15.420727801945715
378,379,7.5180404925518864
377,378,7.494732544937113
380,381,23.380472699861482
382,96,12.182908946218443
381,382,7.361006586282135
230,383,696.4853395973332
383,229,11.668860447508848
384,385,246.3774736965707
386,387,123.28858672569447
388,389,552.8778070118991
389,390,47.00158853911395
390,391,207.70910177318615
392,393,73.55155858681549
393,394,21.846958910542202
395,396,113.46030858918569
397,398,35.8573656168066
399,262,185.36703719497524
400,399,12.145840520711605
401,400,206.11650943681678
85,401,18.083385709027123
402,403,1439.7973087800824
404,405,1432.6352593920012
406,407,581.5760397690012
408,409,219.134245399646
409,410,13.79508975633729
410,98,12.865817907525122
394,411,682.1315588439409
411,412,3.8987126785157353
412,413,66.14900431070352
413,414,4.75350952233338
415,416,743.2328877999698
417,415,42.84140026778648
418,419,675.9813063457059
419,50,12.56851172558725
414,420,548.9676179250581
420,254,7.701808201620876
421,219,1077.9518057457815
21,421,38.794350385701485
422,263,13039.233722073646
423,417,254.2137863427276
405,423,65.19240733131842
424,425,455.0599267465225
425,426,380.2406317217092
426,424,11.887299869002634
427,428,594.1346470304984
429,430,111.71634751812765
430,427,12.623219777186778
431,432,312.0212500324949
433,434,6135.247538986188
435,436,336.8334092175149
437,438,252.76421059664168
439,440,107.35682615124898
438,439,10.991993038531943
441,442,647.9705829709343
72,441,11.655814851739494
443,444,516.4496859110984
445,446,784.2028140874236
447,445,1098.8554997504812
448,447,11.55192317106393
449,448,572.7518729833462
444,449,12.228697193088806
450,451,346.08954213291594
451,443,12.446464097865313
452,453,241.37745215200138
454,455,1990.1375091341502
456,457,116.05671112677615
457,63,5.531286663468885
458,459,102.70305921981267
64,458,12.904415618980797
460,461,85.36205196499088
461,36,12.41550201524152
