from,to,length_m,slope
223,221,9.454224497444011,0.002
224,223,565.0846499189132,0.002
220,224,11.585871628286734,0.002
13,176,3524.9069608567047,0.0022695634491458052
225,226,341.27714679072807,0.002
227,228,184.46905116282687,0.1301031248803666
226,227,12.841292158627102,0.002
229,140,729.8695642935814,0.016441293879152826
37,230,25.546595692148788,0.002
231,199,18.331215289930743,0.002
232,231,29.402732675739124,0.002
233,234,126.38710603774877,0.002
186,233,12.85143481583403,0.002
235,167,94.83471033666154,0.002
234,235,49.669356974158354,0.002
236,6,41.1009680135104,0.002
93,236,34.09566689238722,0.002
237,238,35.56765856125236,0.002
238,239,151.99988200260967,0.002
240,241,176.35562882973198,0.002
242,240,13.165998183541957,0.002
239,242,6.753063370788152,0.002
241,243,142.05775809741067,0.002
243,244,157.52246368459805,0.002
245,246,156.93634306503736,0.002
245,244,11.7467205829222,0.17026028548833205
246,247,141.5036215397625,0.002
248,249,285.6404766371728,0.002
250,251,82.03792030326662,0.002
249,250,15.80253590775047,0.002
253,252,180.23543161047047,2.868470396638514
253,248,11.58058608737798,0.002
254,255,879.5548625192299,0.002
83,256,13.830140337206512,0.002
257,258,173.4329721370503,0.002
258,84,21.600072261391464,0.002
256,259,8.742840036834385,0.002
259,257,69.44895487706088,0.002
260,261,380.3303902422828,0.002
262,260,57.994311841463286,0.002
263,2,5301.845574617429,0.002
264,265,22.216302409612872,0.002
265,266,718.1813859513927,0.002
267,268,10.945216508839325,0.002
268,264,2346.209540020061,0.007245729637538957
216,269,28.56108001248641,0.002
269,270,222.78810449481009,0.049374269891758284
270,271,23.4240412649656,0.002
271,272,13.73496436927732,0.002
272,273,104.63256690767196,0.002
273,274,1106.5108276529425,0.004518708606408912
274,275,118.25950943310502,0.002
275,267,259.70532899575807,0.002
276,277,189.315606616812,0.002
277,215,31.80805054371812,0.002
214,278,150.32193025933793,0.002
278,276,72.64398309643211,0.002
280,279,537.3413286656717,0.002
281,282,293.1660024815439,0.002
284,283,206.96300000077284,0.07730850441837553
284,281,78.57097016378343,0.002
285,286,204.50543983493208,0.002
287,285,83.58647791453946,0.002
288,287,276.23832080253925,0.06516112589920775
282,288,44.25207771317616,0.002
289,290,318.217467324861,0.002
289,286,145.0164612127799,0.10343653316702292
291,292,231.18053432505104,0.002
293,291,176.03654787328048,0.002
294,293,91.2157330870314,0.002
295,294,149.39744872883043,0.002
296,295,7.469537831842899,0.002
290,296,81.55088539250511,0.002
297,298,388.4364397312237,0.04119078017260972
299,297,177.6439546519208,0.002
299,300,864.738225842853,0.002312838660567615
301,300,34.62334544377641,0.002
302,301,29.20246108715417,0.002
303,302,73.99843552148852,0.002
304,303,161.3496818968514,0.002
305,304,164.07439575201394,0.002
306,305,311.3247223095996,0.002
292,306,181.2960747790672,0.07170590988162423
307,308,674.6052171543624,0.010376439170642031
309,310,35.42283382813167,0.002
308,311,75.91118018910805,0.002
312,309,72.0572997333547,0.002
313,307,67.20137582807955,0.002
311,314,517.7678345908582,0.002
315,316,76.68611097445624,0.002
317,315,53.53711868538903,0.002
314,318,83.83772311055613,0.002
318,319,400.2709306306589,0.047467848764495536
320,321,473.195523648098,0.002
319,320,81.39559441226648,0.002
322,323,72.85646211726987,0.002
324,322,53.41579201721381,0.002
325,326,965.2826026585356,0.0031078981344297954
327,325,18.60341837042437,0.002
328,327,33.143962408283805,0.002
321,328,76.44708274339698,0.002
329,330,71.96016784214612,0.002
331,332,72.66525710359542,0.002
333,334,18.686500057078845,0.002
334,331,179.38934450715783,0.002
335,336,328.1068058641189,0.002
336,337,87.95951024160705,0.002
338,329,66.80197921378593,0.002
339,340,358.5491796408741,0.05299133585811174
341,324,15.443278401558016,0.002
340,335,108.34682515359128,0.002
342,339,171.24006564244448,0.002
343,342,193.7254856361676,0.002
343,317,21.75430174093898,0.002
344,343,250.8605598457433,0.002
345,346,292.74568223821507,0.002
347,313,220.4033574582241,0.002
346,347,16.944766660264754,0.002
348,345,103.35740668413868,0.002
348,349,334.4635006211516,0.04783780583018916
350,351,642.3422151357628,0.002
326,350,173.54393976222002,0.002
353,352,260.6366655332848,0.015347034891716632
354,355,338.9938158685322,0.05899812640758129
355,356,20.105519551407784,0.002
356,357,167.60801272936004,0.002
357,352,20.770141917547992,0.002
358,359,135.11846014249514,0.002
359,360,47.38207284389462,0.002
360,361,224.8227767866484,0.031135635365996915
361,362,47.35784538058853,0.002
362,363,141.5542608348178,0.002
364,312,122.83898424964804,0.002
363,365,52.526169632877874,0.002
